2025/03/08 14:58:21 --- MTP Music Manager Started ---
2025/03/08 14:58:21 OS: darwin, Architecture: arm64
2025/03/08 14:58:21 Verbose logging: true
2025/03/08 14:58:21 [VERBOSE] (main.go:25) Starting MTP Music Manager
2025/03/08 14:58:21 [VERBOSE] (connect.go:15) Initializing device with timeout of 30s...
2025/03/08 14:58:21 [VERBOSE] (connect.go:28) Starting MTP device detection in background goroutine
2025/03/08 14:58:21 [VERBOSE] (connect.go:40) MTP device found successfully
2025/03/08 14:58:21 [VERBOSE] (connect.go:54) Device initialized successfully
2025/03/08 14:58:21 [VERBOSE] (storage.go:21) Fetching storages with timeout of 30s...
2025/03/08 14:58:21 [VERBOSE] (storage.go:48) Found 1 storage(s) on device
2025/03/08 14:58:21 [VERBOSE] (storage.go:61) Storage #1:  (ID: 131073)
2025/03/08 14:58:22 [INFO] (list.go:94) Searching for MP3 files...
2025/03/08 14:58:22 [INFO] (list.go:113) Searching storage #1:  (ID: 131073)
2025/03/08 14:58:22 [VERBOSE] (list.go:686) Examining file: /Music/JOYRYDE_SKRILLEX (IsDir: true)
2025/03/08 14:58:23 [VERBOSE] (list.go:686) Examining file: /Music/JOYRYDE_SKRILLEX/AGEN_WIDA (IsDir: true)
2025/03/08 14:58:23 [VERBOSE] (list.go:686) Examining file: /Music/ISOXO_KNOCK2 (IsDir: true)
2025/03/08 14:58:23 [VERBOSE] (list.go:686) Examining file: /Music/ISOXO_KNOCK2/NITEHARTS (IsDir: true)
2025/03/08 14:58:23 [VERBOSE] (list.go:686) Examining file: /Music/JAUZ (IsDir: true)
2025/03/08 14:58:23 [VERBOSE] (list.go:686) Examining file: /Music/JAUZ/ALPHA (IsDir: true)
2025/03/08 14:58:23 [VERBOSE] (list.go:686) Examining file: /Music/JAUZ/FEEL_THE_VOLUME (IsDir: true)
2025/03/08 14:58:23 [VERBOSE] (list.go:686) Examining file: /Music/JAUZ/GET_TO_ME (IsDir: true)
2025/03/08 14:58:23 [VERBOSE] (list.go:686) Examining file: /Music/JAUZ/GOODIEZ (IsDir: true)
2025/03/08 14:58:23 [VERBOSE] (list.go:686) Examining file: /Music/JAUZ/THE_GAME (IsDir: true)
2025/03/08 14:58:23 [VERBOSE] (list.go:686) Examining file: /Music/HEROBUST (IsDir: true)
2025/03/08 14:58:23 [VERBOSE] (list.go:686) Examining file: /Music/HEROBUST/BRUH_! (IsDir: true)
2025/03/08 14:58:23 [VERBOSE] (list.go:686) Examining file: /Music/HEROBUST/BLOCKBUSTER_VIP (IsDir: true)
2025/03/08 14:58:23 [VERBOSE] (list.go:686) Examining file: /Music/HEROBUST/VERTEBREAKER_(REMIXES) (IsDir: true)
2025/03/08 14:58:23 [VERBOSE] (list.go:686) Examining file: /Music/HEROBUST/WTF (IsDir: true)
2025/03/08 14:58:23 [VERBOSE] (list.go:686) Examining file: /Music/BRO_SAFARI_TANK_PARADE (IsDir: true)
2025/03/08 14:58:23 [VERBOSE] (list.go:686) Examining file: /Music/BRO_SAFARI_TANK_PARADE/BLITZ (IsDir: true)
2025/03/08 14:58:23 [VERBOSE] (list.go:686) Examining file: /Music/RUSKO_SUBTRONICS (IsDir: true)
2025/03/08 14:58:23 [VERBOSE] (list.go:686) Examining file: /Music/RUSKO_SUBTRONICS/BOUNCE (IsDir: true)
2025/03/08 14:58:24 [VERBOSE] (list.go:686) Examining file: /Music/12TH_PLANET (IsDir: true)
2025/03/08 14:58:24 [VERBOSE] (list.go:686) Examining file: /Music/12TH_PLANET/CLAIRVOYANT (IsDir: true)
2025/03/08 14:58:24 [VERBOSE] (list.go:686) Examining file: /Music/12TH_PLANET/SHIPWRECK'D (IsDir: true)
2025/03/08 14:58:24 [VERBOSE] (list.go:686) Examining file: /Music/4B_NVRLEFT (IsDir: true)
2025/03/08 14:58:24 [VERBOSE] (list.go:686) Examining file: /Music/4B_NVRLEFT/DOPE (IsDir: true)
2025/03/08 14:58:24 [VERBOSE] (list.go:686) Examining file: /Music/RIOT (IsDir: true)
2025/03/08 14:58:24 [VERBOSE] (list.go:686) Examining file: /Music/RIOT/DOWN_WITH_YOUR_LOVE (IsDir: true)
2025/03/08 14:58:24 [VERBOSE] (list.go:686) Examining file: /Music/BRAINRACK_EYEZIC_ALLEYCVT (IsDir: true)
2025/03/08 14:58:24 [VERBOSE] (list.go:686) Examining file: /Music/BRAINRACK_EYEZIC_ALLEYCVT/EYES_CLOSED (IsDir: true)
2025/03/08 14:58:24 [VERBOSE] (list.go:686) Examining file: /Music/12TH_PLANET_KATIE_SKY (IsDir: true)
2025/03/08 14:58:24 [VERBOSE] (list.go:686) Examining file: /Music/12TH_PLANET_KATIE_SKY/FOLLOW (IsDir: true)
2025/03/08 14:58:24 [VERBOSE] (list.go:686) Examining file: /Music/BUKU_BASSNECTAR (IsDir: true)
2025/03/08 14:58:24 [VERBOSE] (list.go:686) Examining file: /Music/BUKU_BASSNECTAR/FRONT_TO_BACK_(BASSNECTAR_REMIX) (IsDir: true)
2025/03/08 14:58:24 [VERBOSE] (list.go:686) Examining file: /Music/KNOCK2 (IsDir: true)
2025/03/08 14:58:24 [VERBOSE] (list.go:686) Examining file: /Music/KNOCK2/SABLE_VALLEY_SUMMER_VOL._1 (IsDir: true)
2025/03/08 14:58:24 [VERBOSE] (list.go:686) Examining file: /Music/KNOCK2/PARANOID (IsDir: true)
2025/03/08 14:58:24 [VERBOSE] (list.go:686) Examining file: /Music/DEADMAU5_ROB_SWIRE_JAUZ (IsDir: true)
2025/03/08 14:58:25 [VERBOSE] (list.go:686) Examining file: /Music/DEADMAU5_ROB_SWIRE_JAUZ/GHOSTS_'N'_STUFF_(JAUZ_REMIX) (IsDir: true)
2025/03/08 14:58:25 [VERBOSE] (list.go:686) Examining file: /Music/WORKINGJAUZ.m3u8 (IsDir: false)
2025/03/08 14:58:25 [VERBOSE] (list.go:686) Examining file: /Music/WORKINGJAUZ.m3u8 (IsDir: false)
2025/03/08 14:58:25 [VERBOSE] (list.go:686) Examining file: /Music/ROOTKIT_TYLOR_MAURER (IsDir: true)
2025/03/08 14:58:25 [VERBOSE] (list.go:686) Examining file: /Music/ROOTKIT_TYLOR_MAURER/GOOD_2_GO (IsDir: true)
2025/03/08 14:58:25 [VERBOSE] (list.go:686) Examining file: /Music/QUIX (IsDir: true)
2025/03/08 14:58:25 [VERBOSE] (list.go:686) Examining file: /Music/QUIX/GRENADE (IsDir: true)
2025/03/08 14:58:25 [VERBOSE] (list.go:686) Examining file: /Music/JOYRYDE (IsDir: true)
2025/03/08 14:58:25 [VERBOSE] (list.go:686) Examining file: /Music/JOYRYDE/HOT_DRUM (IsDir: true)
2025/03/08 14:58:25 [VERBOSE] (list.go:686) Examining file: /Music/JOYRYDE/BRAVE (IsDir: true)
2025/03/08 14:58:25 [VERBOSE] (list.go:686) Examining file: /Music/JOYRYDE/SPEED_TRAP (IsDir: true)
2025/03/08 14:58:25 [VERBOSE] (list.go:686) Examining file: /Music/QUIX_AMBA_SHEPHERD (IsDir: true)
2025/03/08 14:58:25 [VERBOSE] (list.go:686) Examining file: /Music/QUIX_AMBA_SHEPHERD/HEADS_OR_TAILS (IsDir: true)
2025/03/08 14:58:25 [VERBOSE] (list.go:686) Examining file: /Music/EPHWURD_SWAGE (IsDir: true)
2025/03/08 14:58:25 [VERBOSE] (list.go:686) Examining file: /Music/EPHWURD_SWAGE/HECTIC (IsDir: true)
2025/03/08 14:58:25 [VERBOSE] (list.go:686) Examining file: /Music/AHEE_DEFUNK (IsDir: true)
2025/03/08 14:58:25 [VERBOSE] (list.go:686) Examining file: /Music/AHEE_DEFUNK/I_FEEL_IT (IsDir: true)
2025/03/08 14:58:25 [VERBOSE] (list.go:686) Examining file: /Music/JAUZ_EXAMPLE (IsDir: true)
2025/03/08 14:58:25 [VERBOSE] (list.go:686) Examining file: /Music/JAUZ_EXAMPLE/THE_WISE_AND_THE_WICKED (IsDir: true)
2025/03/08 14:58:25 [VERBOSE] (list.go:686) Examining file: /Music/TI_STO_JAUZ (IsDir: true)
2025/03/08 14:58:26 [VERBOSE] (list.go:686) Examining file: /Music/TI_STO_JAUZ/INFECTED (IsDir: true)
2025/03/08 14:58:26 [VERBOSE] (list.go:686) Examining file: /Music/TI_STO_JAUZ/INFECTED/10 INFECTED.MP3 (IsDir: false)
2025/03/08 14:58:26 [VERBOSE] (list.go:692) Found MP3: /Music/TI_STO_JAUZ/INFECTED/10 INFECTED.MP3 (Size: 4654841 bytes)
2025/03/08 14:58:26 [VERBOSE] (list.go:686) Examining file: /Music/ZEDS_DEAD_JAUZ_SUBTRONICS (IsDir: true)
2025/03/08 14:58:26 [VERBOSE] (list.go:686) Examining file: /Music/ZEDS_DEAD_JAUZ_SUBTRONICS/LIGHTS_GO_DOWN_(REMIXES) (IsDir: true)
2025/03/08 14:58:26 [VERBOSE] (list.go:686) Examining file: /Music/DREZO (IsDir: true)
2025/03/08 14:58:26 [VERBOSE] (list.go:686) Examining file: /Music/DREZO/MALICE (IsDir: true)
2025/03/08 14:58:26 [VERBOSE] (list.go:686) Examining file: /Music/JAUZ_SAN_HOLO (IsDir: true)
2025/03/08 14:58:26 [VERBOSE] (list.go:686) Examining file: /Music/JAUZ_SAN_HOLO/OK! (IsDir: true)
2025/03/08 14:58:26 [VERBOSE] (list.go:686) Examining file: /Music/BONNIE_X_CLYDE (IsDir: true)
2025/03/08 14:58:26 [VERBOSE] (list.go:686) Examining file: /Music/BONNIE_X_CLYDE/OURS (IsDir: true)
2025/03/08 14:58:26 [VERBOSE] (list.go:686) Examining file: /Music/MONXX (IsDir: true)
2025/03/08 14:58:26 [VERBOSE] (list.go:686) Examining file: /Music/MONXX/ON_YOU (IsDir: true)
2025/03/08 14:58:26 [VERBOSE] (list.go:686) Examining file: /Music/KNIFE_PARTY_JAUZ (IsDir: true)
2025/03/08 14:58:26 [VERBOSE] (list.go:686) Examining file: /Music/KNIFE_PARTY_JAUZ/TRIGGER_WARNING (IsDir: true)
2025/03/08 14:58:26 [VERBOSE] (list.go:686) Examining file: /Music/BRO_SAFARI_SARAH_HUDSON (IsDir: true)
2025/03/08 14:58:26 [VERBOSE] (list.go:686) Examining file: /Music/BRO_SAFARI_SARAH_HUDSON/COLLISIONS (IsDir: true)
2025/03/08 14:58:26 [VERBOSE] (list.go:686) Examining file: /Music/JAUZ_EPHWURD (IsDir: true)
2025/03/08 14:58:26 [VERBOSE] (list.go:686) Examining file: /Music/JAUZ_EPHWURD/ROCK_THE_PARTY (IsDir: true)
2025/03/08 14:58:27 [VERBOSE] (list.go:686) Examining file: /Music/SIKDOPE_LOUD_ABOUT_US! (IsDir: true)
2025/03/08 14:58:27 [VERBOSE] (list.go:686) Examining file: /Music/SIKDOPE_LOUD_ABOUT_US!/SLOW_IT_DOWN (IsDir: true)
2025/03/08 14:58:27 [VERBOSE] (list.go:686) Examining file: /Music/JAUZ_666 (IsDir: true)
