2025/03/08 15:05:39 --- MTP Music Manager Started ---
2025/03/08 15:05:39 OS: darwin, Architecture: arm64
2025/03/08 15:05:39 Verbose logging: true
2025/03/08 15:05:39 [VERBOSE] (main.go:25) Starting MTP Music Manager
2025/03/08 15:05:39 [VERBOSE] (connect.go:15) Initializing device with timeout of 30s...
2025/03/08 15:05:39 [VERBOSE] (connect.go:28) Starting MTP device detection in background goroutine
2025/03/08 15:05:39 [VERBOSE] (connect.go:40) MTP device found successfully
2025/03/08 15:05:39 [VERBOSE] (connect.go:54) Device initialized successfully
2025/03/08 15:05:39 [VERBOSE] (storage.go:21) Fetching storages with timeout of 30s...
2025/03/08 15:05:39 [VERBOSE] (storage.go:48) Found 1 storage(s) on device
2025/03/08 15:05:39 [VERBOSE] (storage.go:61) Storage #1:  (ID: 131073)
2025/03/08 15:05:40 [INFO] (list.go:88) Searching for MP3 files...
2025/03/08 15:05:40 [INFO] (list.go:107) Searching storage #1:  (ID: 131073)
2025/03/08 15:05:40 [INFO] (list.go:698) Searching for MP3 files in both case variations of music directories
2025/03/08 15:05:40 [INFO] (list.go:707) Searching in /MUSIC directory
2025/03/08 15:05:40 [VERBOSE] (list.go:713) Examining file: /MUSIC/JOYRYDE_SKRILLEX (IsDir: true)
2025/03/08 15:05:41 [VERBOSE] (list.go:713) Examining file: /MUSIC/JOYRYDE_SKRILLEX/AGEN_WIDA (IsDir: true)
2025/03/08 15:05:41 [VERBOSE] (list.go:713) Examining file: /MUSIC/ISOXO_KNOCK2 (IsDir: true)
2025/03/08 15:05:41 [VERBOSE] (list.go:713) Examining file: /MUSIC/ISOXO_KNOCK2/NITEHARTS (IsDir: true)
2025/03/08 15:05:41 [VERBOSE] (list.go:713) Examining file: /MUSIC/JAUZ (IsDir: true)
2025/03/08 15:05:41 [VERBOSE] (list.go:713) Examining file: /MUSIC/JAUZ/ALPHA (IsDir: true)
2025/03/08 15:05:41 [VERBOSE] (list.go:713) Examining file: /MUSIC/JAUZ/FEEL_THE_VOLUME (IsDir: true)
2025/03/08 15:05:41 [VERBOSE] (list.go:713) Examining file: /MUSIC/JAUZ/GET_TO_ME (IsDir: true)
2025/03/08 15:05:41 [VERBOSE] (list.go:713) Examining file: /MUSIC/JAUZ/GOODIEZ (IsDir: true)
2025/03/08 15:05:41 [VERBOSE] (list.go:713) Examining file: /MUSIC/JAUZ/THE_GAME (IsDir: true)
2025/03/08 15:05:41 [VERBOSE] (list.go:713) Examining file: /MUSIC/HEROBUST (IsDir: true)
2025/03/08 15:05:41 [VERBOSE] (list.go:713) Examining file: /MUSIC/HEROBUST/BRUH_! (IsDir: true)
2025/03/08 15:05:41 [VERBOSE] (list.go:713) Examining file: /MUSIC/HEROBUST/BLOCKBUSTER_VIP (IsDir: true)
2025/03/08 15:05:41 [VERBOSE] (list.go:713) Examining file: /MUSIC/HEROBUST/VERTEBREAKER_(REMIXES) (IsDir: true)
2025/03/08 15:05:41 [VERBOSE] (list.go:713) Examining file: /MUSIC/HEROBUST/WTF (IsDir: true)
2025/03/08 15:05:41 [VERBOSE] (list.go:713) Examining file: /MUSIC/BRO_SAFARI_TANK_PARADE (IsDir: true)
2025/03/08 15:05:41 [VERBOSE] (list.go:713) Examining file: /MUSIC/BRO_SAFARI_TANK_PARADE/BLITZ (IsDir: true)
2025/03/08 15:05:41 [VERBOSE] (list.go:713) Examining file: /MUSIC/RUSKO_SUBTRONICS (IsDir: true)
2025/03/08 15:05:42 [VERBOSE] (list.go:713) Examining file: /MUSIC/RUSKO_SUBTRONICS/BOUNCE (IsDir: true)
2025/03/08 15:05:42 [VERBOSE] (list.go:713) Examining file: /MUSIC/12TH_PLANET (IsDir: true)
2025/03/08 15:05:42 [VERBOSE] (list.go:713) Examining file: /MUSIC/12TH_PLANET/CLAIRVOYANT (IsDir: true)
2025/03/08 15:05:42 [VERBOSE] (list.go:713) Examining file: /MUSIC/12TH_PLANET/SHIPWRECK'D (IsDir: true)
2025/03/08 15:05:42 [VERBOSE] (list.go:713) Examining file: /MUSIC/4B_NVRLEFT (IsDir: true)
2025/03/08 15:05:42 [VERBOSE] (list.go:713) Examining file: /MUSIC/4B_NVRLEFT/DOPE (IsDir: true)
2025/03/08 15:05:42 [VERBOSE] (list.go:713) Examining file: /MUSIC/RIOT (IsDir: true)
2025/03/08 15:05:42 [VERBOSE] (list.go:713) Examining file: /MUSIC/RIOT/DOWN_WITH_YOUR_LOVE (IsDir: true)
2025/03/08 15:05:42 [VERBOSE] (list.go:713) Examining file: /MUSIC/BRAINRACK_EYEZIC_ALLEYCVT (IsDir: true)
2025/03/08 15:05:42 [VERBOSE] (list.go:713) Examining file: /MUSIC/BRAINRACK_EYEZIC_ALLEYCVT/EYES_CLOSED (IsDir: true)
2025/03/08 15:05:42 [VERBOSE] (list.go:713) Examining file: /MUSIC/12TH_PLANET_KATIE_SKY (IsDir: true)
2025/03/08 15:05:42 [VERBOSE] (list.go:713) Examining file: /MUSIC/12TH_PLANET_KATIE_SKY/FOLLOW (IsDir: true)
2025/03/08 15:05:42 [VERBOSE] (list.go:713) Examining file: /MUSIC/BUKU_BASSNECTAR (IsDir: true)
2025/03/08 15:05:42 [VERBOSE] (list.go:713) Examining file: /MUSIC/BUKU_BASSNECTAR/FRONT_TO_BACK_(BASSNECTAR_REMIX) (IsDir: true)
2025/03/08 15:05:42 [VERBOSE] (list.go:713) Examining file: /MUSIC/KNOCK2 (IsDir: true)
2025/03/08 15:05:42 [VERBOSE] (list.go:713) Examining file: /MUSIC/KNOCK2/SABLE_VALLEY_SUMMER_VOL._1 (IsDir: true)
2025/03/08 15:05:42 [VERBOSE] (list.go:713) Examining file: /MUSIC/KNOCK2/PARANOID (IsDir: true)
2025/03/08 15:05:42 [VERBOSE] (list.go:713) Examining file: /MUSIC/DEADMAU5_ROB_SWIRE_JAUZ (IsDir: true)
