2025/03/08 14:45:53 --- MTP Music Manager Started ---
2025/03/08 14:45:53 OS: darwin, Architecture: arm64
2025/03/08 14:45:53 Verbose logging: true
2025/03/08 14:45:53 [VERBOSE] (main.go:25) Starting MTP Music Manager
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/RunningIndoor TrackIndoor_Track.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Field_Hockey.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Ice_Hockey.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/American_FootballAmerican_Football.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Lacrosse.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Rugby.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Cricket.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Softball.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Baseball.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/BasketballBasketball.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Volleyball.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/SoccerSoccer_Football.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/CyclingBike.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/CyclingIndoor_CycleBike_Indoor.fit (IsDir: false)
